iter	Passed	Remaining
0	3	19035
1	7	18834
2	11	18331
3	15	18939
4	20	20544
5	24	20496
6	29	20911
7	33	20658
8	36	20336
9	40	20104
10	43	19944
11	48	19982
12	51	19945
13	55	19850
14	59	19807
15	63	19723
16	66	19627
17	70	19584
18	74	19510
19	78	19469
20	82	19561
21	86	19473
22	89	19406
23	93	19350
24	97	19347
25	101	19361
26	105	19405
27	108	19342
28	112	19307
29	116	19255
30	120	19236
31	123	19197
32	127	19172
33	130	19131
34	134	19055
35	137	19007
36	141	18947
37	145	18945
38	148	18927
39	152	18900
40	155	18856
41	159	18825
42	163	18808
43	166	18787
44	170	18779
45	174	18751
46	177	18740
47	181	18709
48	184	18690
49	188	18666
50	192	18703
51	197	18771
52	200	18742
53	204	18721
54	208	18711
55	211	18713
56	215	18682
57	219	18664
58	222	18651
59	226	18650
60	230	18647
61	233	18618
62	237	18607
63	241	18589
64	245	18641
65	249	18638
66	252	18615
67	256	18607
68	260	18601
69	263	18567
70	267	18550
71	270	18531
72	274	18508
73	277	18497
74	281	18505
75	285	18491
76	289	18481
77	292	18466
78	296	18449
79	300	18471
80	303	18456
81	307	18464
82	311	18458
83	315	18444
84	319	18452
85	322	18445
86	327	18467
87	330	18451
88	335	18495
89	339	18533
90	343	18516
91	347	18513
92	350	18504
93	354	18492
94	357	18484
95	361	18491
96	365	18493
97	369	18488
98	373	18477
99	376	18463
100	380	18448
101	384	18454
102	387	18440
103	391	18432
104	395	18420
105	398	18417
106	402	18408
107	406	18403
108	409	18393
109	414	18410
110	420	18518
111	425	18552
112	430	18604
113	433	18588
114	437	18582
115	441	18580
116	444	18561
117	448	18549
118	452	18541
119	455	18531
120	459	18516
121	463	18520
122	466	18509
123	470	18509
124	474	18513
125	479	18548
126	483	18539
127	486	18528
128	490	18530
129	494	18541
130	498	18528
131	502	18545
132	506	18541
133	511	18563
134	514	18551
135	518	18547
136	522	18530
137	525	18514
138	529	18516
139	533	18507
140	536	18497
141	540	18481
142	543	18467
143	547	18454
144	550	18446
145	554	18436
146	558	18427
147	561	18419
148	565	18402
149	568	18389
150	572	18375
151	575	18357
152	579	18346
153	582	18339
154	586	18323
155	589	18313
156	593	18300
157	596	18288
158	600	18284
159	604	18271
160	607	18259
161	611	18252
162	614	18245
163	618	18236
164	622	18229
165	625	18220
166	629	18210
167	633	18208
168	636	18193
169	639	18180
170	643	18169
171	647	18162
172	650	18149
173	654	18143
174	657	18133
175	661	18129
176	665	18127
177	668	18122
178	672	18114
179	676	18104
180	679	18096
181	683	18087
182	686	18077
183	690	18069
184	694	18069
185	697	18057
186	701	18053
187	705	18047
188	708	18036
189	712	18038
190	716	18031
191	719	18024
192	723	18013
193	726	18002
194	730	17993
195	733	17982
196	737	17972
197	741	17973
198	744	17963
199	748	17954
200	751	17947
201	755	17937
202	758	17930
203	762	17923
204	766	17917
205	769	17916
206	773	17908
207	777	17902
208	780	17893
209	784	17887
210	787	17880
211	791	17869
212	794	17866
213	798	17859
214	802	17854
215	805	17841
216	809	17833
217	812	17824
218	816	17816
219	819	17808
220	823	17799
221	827	17802
222	830	17792
223	834	17787
224	837	17783
225	841	17779
226	845	17775
227	850	17790
228	854	17793
229	858	17797
230	862	17803
231	866	17800
232	869	17797
233	873	17798
234	877	17792
235	881	17786
